公众号,发布时间,原标题,科技报告标题,摘要,领域分类,研究机构,URL
机器之心,2025-03-15 09:33:50,「压缩即智能」得到实验验证，无需预训练和大量数据就能解决ARC-AGI问题,无损信息压缩在ARC-AGI问题中的应用研究,卡内基梅隆大学的研究团队通过实验验证了无损信息压缩能够产生智能行为的观点，提出了一种名为CompressARC的方法。该方法在ARC-AGI基准上表现良好，且无需预训练和大量数据。研究表明，通过压缩可以有效解决ARC-AGI谜题，挑战了传统依赖大量数据和预训练的AI方法。该团队的成果为理解智能行为的本质提供了新的视角。,AGI,Other,https://mp.weixin.qq.com/s/IuqM9BmA_mAULqfd40YwmA
机器之心,2025-03-15 09:33:50,AI进入推理模型时代，一文带你读懂思维链,推理模型时代的思维链技术分析,本文探讨了推理模型DeepSeek R1及其思维链（CoT）技术在AI领域的重要性。思维链通过逐步推理提升大型语言模型的答案准确性，文章回顾了相关研究进展和技术实现，特别是DeepMind和普林斯顿大学的贡献。作者还讨论了如何通过提示工程激活模型的推理能力，并评估了不同模型在推理任务中的表现，强调了推理链技术的潜力和未来研究方向。,LLM,"DeepMind, OpenAI",https://mp.weixin.qq.com/s/-dPdlmoFruKsX2cydFKO6g
新智元,2025-03-15 09:13:36,纽约时报重磅曝料：特朗普任期内将实现AGI，美国政府早知AGI即将降临！,美国政府对通用人工智能（AGI）即将到来的准备与挑战,纽约时报报道指出，美国政府已意识到通用人工智能（AGI）即将实现，但尚未做好充分准备。前AI顾问Ben Buchanan强调AGI对国家安全和经济的重要性，并讨论了美国在这一领域的竞争压力。尽管AGI的到来被广泛认为是不可避免的，但社会和政策制定者仍需应对相关挑战和不确定性。文章还提到特朗普政府的幕僚对AI的态度，以及AGI可能对劳动力市场和全球力量平衡的影响。,AGI,Other,https://mp.weixin.qq.com/s/umvhSER6sUHXLTIMMAo_tg
量子位,2025-03-14 19:22:31,人大北邮等团队解视触觉感知统一难题，模型代码数据集全开源 | ICLR 2025,人大北邮等团队提出统一视触觉感知模型及数据集,中国人民大学、北京邮电大学和武汉科技大学的研究团队提出了一种新的视触觉感知模型，旨在解决多传感器触觉信息的统一表征问题。该模型结合了静态和动态触觉特征，通过开源的多模态触觉数据集TacQuad，支持多种传感器的数据融合。研究强调了触觉感知在机器人操作中的重要性，并为未来的触觉感知系统提供了新的思路和基础。,Embodied AI,Other,https://mp.weixin.qq.com/s/L_1ScuYs-7XXp1gspEG6bg
量子位,2025-03-14 19:22:31,游戏也可以Copilot！微软CEO纳德拉亲自站台：玩家有福了,微软推出游戏Copilot：AI助手助力玩家提升游戏体验,微软CEO纳德拉宣布推出“Copilot for Gaming”，一款基于人工智能的游戏助手，旨在为玩家提供实时指导和建议。该助手可以帮助新手玩家在《我的世界》和《守望先锋2》等游戏中更快上手，优化团队配置，并在对战中提供策略建议。游戏Copilot将于4月进行内测，旨在提升玩家的游戏体验，尽管引发了关于游戏作弊的讨论。,Agent,Microsoft,https://mp.weixin.qq.com/s/Mcv7XsjjZzx1IZPmq3mkOw
量子位,2025-03-14 19:22:31,国产人形机器人破全球纪录！连续空翻一镜到底，量产3.99w起售,国产人形机器人N2实现连续空翻并开启预售,国产人形机器人N2在全球首次实现室内外多场景连续空翻，展示出卓越的运动能力和稳定性。该机器人身高1.2米，重30公斤，具备多种运动能力，最高奔跑速度可达每秒3.5米。目前N2已开启预售，起售价为3.99万元。其成功得益于轻量化设计、创新算法和高效的工程实践，展现了中国在机器人领域的快速发展。N2的研发团队为清华系创业公司NOETIX Robotics。,Embodied AI,THU,https://mp.weixin.qq.com/s/ZvhA57ejJJuTXBK8DLzZbQ
量子位,2025-03-14 19:22:31,倒计时2周！今年最值得关注的AIGC企业/产品正在评选中,2025年度AIGC企业与产品评选启动,量子位公众号宣布将于2025年3月24日截止报名，评选出2025年值得关注的AIGC企业和产品。评选将基于过去一年AIGC企业和产品的表现，结合对未来技术与场景的观察，旨在发现和推广具有潜力的AI企业和产品。评选标准包括技术、产品、市场和潜力等多个维度。最终结果将在4月的中国AIGC产业峰会上公布。,Other,Other,https://mp.weixin.qq.com/s/Hj5HlzMJRNYPAKTwIMrx-A
量子位,2025-03-14 19:22:31,CVPR 2025：长Prompt对齐问题也能评估了！当前最大AIGC评估数据集，模型评分超越当前SOTA,CVPR 2025：长Prompt对齐问题的评估与Q-Eval-100K数据集的发布,在CVPR 2025大会上，AGI-Eval团队发布了Q-Eval-100K数据集和Q-Eval-Score评估框架，旨在解决现有文本到视觉评估中的关键问题。该数据集包含100K条AIGC生成数据，涵盖60K图片和40K视频，标注质量高，能够有效评估视觉质量和文本一致性。研究表明，基于该数据集训练的模型在多个评估基准上表现优异，推动了AIGC评估的进步。,Multimodal LLM,Other,https://mp.weixin.qq.com/s/putUJtJ7vxQuK95wuJMmqQ
量子位,2025-03-14 19:22:31,提出机器人自主学习新范式，深大团队最新顶会论文，刷新6大复杂任务SOTA,ROSKA框架：机器人自主学习的新范式,深圳大学李坚强教授团队提出了一种新的机器人自主学习框架ROSKA，结合奖励函数与策略的协同进化机制。在多个高维度机器人任务中，该框架在仅使用89%训练样本的情况下，平均性能提升95.3%，刷新了六类复杂任务的SOTA表现。ROSKA框架通过动态调整奖励函数，显著提高了策略的适应性和可塑性，展示了在复杂环境中机器人学习的潜力。该研究成果已被AAAI 2025收录。,Embodied AI,Other,https://mp.weixin.qq.com/s/ctBuRz0XRdfCNVlkDX165g
新智元,2025-03-14 16:34:30,何恺明LeCun暴击Transformer命门，9行代码砍掉归一化层！性能反而更强了？,何恺明与LeCun合作提出无归一化层的Transformer架构,本文报道了何恺明与Yann LeCun等研究者联手提出的一种新型Transformer架构，该架构通过9行代码去除传统归一化层，采用动态Tanh（DyT）替代，结果显示性能不减反增。这一发现挑战了归一化层在深度学习中的必要性，可能为降低模型训练和推理成本提供新思路。研究表明，DyT在多种模型中表现优于传统归一化方法，具有广泛的应用潜力。,Other,"Meta, THU",https://mp.weixin.qq.com/s/1zxtlSrcc2HRs2DnY6I66g
机器之心,2025-03-14 15:30:56,人类秒懂，AI却懵圈：VLM²-Bench揭示视觉语言模型「视觉关联」能力短板,VLM²-Bench: 评估视觉语言模型的视觉关联能力,本文由港科大与MIT教授团队合作撰写，提出了VLM²-Bench基准，以评估视觉语言模型（VLMs）在基础视觉线索关联能力上的表现。研究发现，尽管VLMs在处理多图和视频输入时能力提升，但在视觉关联任务上仍存在显著短板，尤其是在动态视觉理解方面。通过对模型的评测，发现其在匹配和跟踪线索的能力较弱，且对视觉提示的依赖性过高。未来的研究方向将致力于增强模型的核心视觉能力，以提升其性能和适应性。,Multimodal LLM,Other,https://mp.weixin.qq.com/s/1JxiDNlE3WhKue7zCAmUrQ
机器之心,2025-03-14 15:30:56,没有归一化层的Transformer！刘壮带队，何恺明、Yann LeCun都参与了,Transformers without Normalization: A New Approach by Liu Zhuang and Collaborators,"This article discusses a novel approach to Transformer architecture that eliminates normalization layers, proposed by Liu Zhuang and collaborators including Yann LeCun and Kaiming He. The research introduces Dynamic Tanh (DyT), a learnable operation that simulates the effects of normalization without the associated computational overhead. The findings suggest that models using DyT can achieve stable training and high performance across various settings, challenging the conventional belief that normalization layers are essential for effective deep learning. This work has been accepted for presentation at CVPR 2025.",Other,Meta,https://mp.weixin.qq.com/s/gKVkJzbHHtVDhiYhG8FCbw
量子位,2025-03-14 15:22:58,AI能自主出“竞赛题”了！港大&蚂蚁让大模型学会生成难题，水平已接近AIME,AI模型自主生成竞赛题的研究进展,港大与蚂蚁的研究团队提出了一种新的问题生成方法PromptCoT，利用大模型Llama3.1-8B生成具有挑战性的数学问题。实验结果显示，生成的问题难度接近AIME水平，并且通过合成的400k SFT数据训练的DeepSeek-R1-Distill-Qwen-7B模型在多个数学竞赛上表现优异。该研究为大模型训练提供了高质量问题数据，解决了当前数据不足的问题。,LLM,Other,https://mp.weixin.qq.com/s/MGP193hPSn3xTAlUrrC5ug
量子位,2025-03-14 15:22:58,何恺明LeCun联手改造Transformer！9行代码替代归一化层，性能不减还加速,何恺明与LeCun提出DyT替代Transformer中的归一化层,何恺明和LeCun的研究团队提出了一种新的动态激活函数DyT（Dynamic Tanh），可以替代Transformer模型中的归一化层如Layer Norm和RMSNorm。DyT通过简单的几行代码实现，能在多种任务和模型架构中保持或提升性能，同时显著提高训练效率。该研究已入选CVPR2025，表明DyT在视觉、语言和其他模态的应用潜力。尽管DyT在Transformer模型中表现良好，但在其他模型中如ResNet的应用效果尚待验证。,LLM,Meta,https://mp.weixin.qq.com/s/JKnh-35CabjnB-3hT6U1og
量子位,2025-03-14 12:06:00,谷歌大招网友玩疯了！Gemini原生图像输出抢先推出，OpenAI一年领先优势归零,谷歌Gemini原生图像生成技术的推出及其影响,谷歌推出了Gemini原生图像生成技术，迅速引发网络热议。该技术允许用户通过简单指令生成图像，并支持多轮对话式编辑，保持人物和场景的一致性。与OpenAI的多模态能力相比，谷歌的Gemini 2.0 Flash在图文故事模式和基于世界知识的图像生成方面展现出明显优势。用户可以在Google AI Studio免费体验这一新功能，探索其多样化的应用场景。,Multimodal LLM,"Google, OpenAI",https://mp.weixin.qq.com/s/6v9Bg5EQh_fbVViq2mJDyA
量子位,2025-03-14 12:06:00,ChatGPT再进化：o1支持调用Python分析数据，网友：已经成为Copilot了,ChatGPT更新：o1模型支持Python数据分析功能,OpenAI近日更新了ChatGPT，o1和o3-mini模型现在支持调用Python进行数据分析和可视化。用户可以通过这两个模型完成复杂的数据分析任务，例如航班记录的统计和可视化。测试结果显示，o1在数据分析上表现出色，能够准确回答多个复杂问题，并绘制相关图表。此外，OpenAI还宣布了一项新功能，允许所有用户在文本编辑和IDE工具中直接读取代码数据，提升编程效率。,LLM,OpenAI,https://mp.weixin.qq.com/s/oR0UKgTp9owpe0ih-JMWjQ
量子位,2025-03-14 12:06:00,量子位招聘 | DeepSeek帮我们改的招聘启事,量子位招聘启事,量子位发布招聘启事，寻求对AI大模型、具身智能、终端硬件及AI新媒体编辑感兴趣的全职原创作者。岗位面向社招和应届毕业生，工作地点在北京中关村。应聘者需具备相关领域的热情和能力，包括信息搜集、文字表达和行业洞察。量子位提供竞争力薪资、专业指导及良好的团队氛围，旨在吸引志同道合的科技爱好者加入。,Embodied AI,Other,https://mp.weixin.qq.com/s/WUzLlABjQqOYXtqC0N3G9w
新智元,2025-03-14 12:00:33,医学可用！推理增强RAG：精准诊断、智能补问、高效解析 | WWW 2025,MedRAG: A Knowledge Graph Enhanced Retrieval-Augmented Generation Model for Medical Diagnosis,南洋理工大学的研究团队提出了MedRAG模型，结合知识图谱与大语言模型，显著提升智能健康助手在医学诊断中的精度和个性化建议。该模型在真实临床数据集上表现优于现有模型，准确率提升11.32%，并具备良好的泛化能力。MedRAG旨在解决现有RAG模型在医学应用中的挑战，包括诊断准确性不足和缺乏医学推理能力，推动智能医疗的发展。,LLM,Other,https://mp.weixin.qq.com/s/XR7G3IZib0mbenSRFcP2NA
新智元,2025-03-14 12:00:33,苏妈击溃英特尔再战英伟达，十年逆袭市值飙至1600亿！AMD怪兽完爆4090 7.3倍,AMD发布新GPU，AI性能显著超越英伟达4090,AMD在击败英特尔后，向英伟达发起挑战，推出了两款新GPU——Radeon Pro W7900和W7800。最新基准测试显示，这两款显卡在AI性能上相较于英伟达的RTX 4090有显著提升，性能最高可达7.3倍。尽管价格昂贵，但相较于同级别的英伟达显卡，AMD的定价更具竞争力。AMD CEO苏姿丰正在推进开源软件战略，力求在AI领域与英伟达展开更有力的竞争。,LLM,Other,https://mp.weixin.qq.com/s/MedexeiCVou4Ow5mc162Dw
新智元,2025-03-14 12:00:33,AI逆袭5G芯片设计，几分钟媲美半个月工作量！研究登Nature子刊,AI在5G芯片设计中的应用：从数周缩短至几小时,普林斯顿大学和印度技术学院的研究表明，基于深度学习的AI能够在90nm芯片上高效设计集成电路，显著缩短设计时间。传统的无线芯片设计需耗费数周，而AI技术可在几小时内完成，甚至在设计复杂的毫米波无线芯片时展现出超越人类的能力。这项研究强调了AI在芯片设计中的潜力，能够探索未被开发的设计空间，并创造出超出人类直觉的高性能电路。,Other,Other,https://mp.weixin.qq.com/s/SWYeZzNFdKCYyTXUcRXJ0A
新智元,2025-03-14 12:00:33,美国IT岗位雪崩式下降，5年最低！AI相关技能称霸就业市场,美国IT岗位需求下降与AI技能崛起,美国IT行业面临前所未有的挑战，软件工程师岗位需求降至五年来最低水平，而AI相关技能的需求却在急剧上升。尽管整体IT失业率上升，企业对具备AI技能的人才争相招聘，传统行业也开始重视AI的应用。AI技术的进步在提升工作效率的同时，也对程序员的就业前景产生了负面影响，促使他们转型以适应新的市场需求。,Other,"Amazon, Meta, Google, Microsoft",https://mp.weixin.qq.com/s/Tbt_iofF3N3eCPVU-fEe1A
机器之心,2025-03-14 11:44:09,出海应用也能享受高速稳定的DeepSeek-R1？亚马逊云科技出手了,亚马逊云科技推出全托管DeepSeek-R1模型,亚马逊云科技于2023年3月11日正式推出DeepSeek-R1模型，成为首个以全托管形式提供该模型的国际云服务商。DeepSeek-R1结合了强大的自然语言处理与推理能力，为开发者提供了便捷的API调用方式，解决了传统部署的高门槛问题。通过实测，Amazon Bedrock的DeepSeek-R1在首Token时延和每Token输出时间上表现优异，显示出其在生成式AI领域的竞争力。,LLM,Amazon,https://mp.weixin.qq.com/s/Ktckx1c05JXcDNrfLL7hhQ
机器之心,2025-03-14 11:44:09,FP8模型不再挑卡！DeepSeek推理成本减半速度翻番，清华团队开源「赤兔」推理引擎,清华团队开源赤兔推理引擎，DeepSeek模型推理成本显著降低,清华大学翟季冬教授团队与清程极智公司联合开源了大模型推理引擎「赤兔」，实现了在非H卡设备上高效运行FP8模型的突破。赤兔引擎在DeepSeek-671B推理服务中，GPU使用量减少50%，输出速度提升3.15倍，标志着国产大模型、引擎和芯片的技术闭环加速形成。该引擎支持多元算力环境，致力于降低大模型落地门槛，推动国产AI生态建设。,LLM,THU,https://mp.weixin.qq.com/s/Ev9x6AWGF4S6zQpPpWtg9g
机器之心,2025-03-14 11:44:09,MM-Eureka：极少数据实现多模态推理的R1-Zero时刻,MM-Eureka: 实现多模态推理的高效强化学习框架,本文介绍了MM-Eureka模型，旨在复现DeepSeek-R1在多模态环境中的关键特性，通过极少数据实现稳定的回答长度增长和准确率奖励。研究表明，仅使用54K图文数据进行规则型强化学习训练，模型在多模态数学推理基准上表现优异，超越传统方法的效果。研究团队来自上海人工智能实验室、上海创智学院、上海交通大学和香港大学，提出的框架展示了强化学习在数据效率上的巨大潜力。,Multimodal LLM,Other,https://mp.weixin.qq.com/s/9puENe22tBeHBoZtOv0KRg
机器之心,2025-03-14 11:44:09,arXiv科研神器：Mistral OCR、Claude 3.7合体实现论文速读,Mistral OCR与Claude 3.7结合实现arXiv论文速读,本文介绍了一款由alphaXiv推出的新工具，结合了Mistral OCR和Claude 3.7的能力，旨在为arXiv上的学术论文自动生成博客风格的概述。用户只需简单操作，即可快速获取论文的核心内容、研究背景、方法、实验结果及局限性等信息，极大提升了科研效率。这一工具为科研爱好者和专业人士提供了便捷的学习方式，帮助他们在短时间内掌握复杂的研究内容。,LLM,Other,https://mp.weixin.qq.com/s/yJG584s2DH766Rto61ALXw
机器之心,2025-03-14 11:44:09,CVPR 2025 | VAST和北航开源MIDI，从单张图像端到端生成三维组合场景,MIDI: 从单张图像生成三维组合场景的创新模型,本文介绍了MIDI模型，该模型由VAST和北京航空航天大学的研究团队开发，能够从单张图像端到端生成高几何质量、实例可分离的三维组合场景。MIDI通过多实例扩散模型的创新，克服了传统方法在生成三维场景时的局限性，显著提升了生成效率和质量。该技术在建筑设计、虚拟现实和游戏开发等领域展现了广阔的应用潜力。,Diffusion Model,Other,https://mp.weixin.qq.com/s/PE3JUGsHKjFWEiCJMg9tHQ
新智元,2025-03-14 11:08:32,OpenAI紧急上书，矛头直指DeepSeek！15页提案欲锁死中国AI,OpenAI针对DeepSeek的提案分析,OpenAI近日发布了一份15页的提案，直接针对DeepSeek，意在限制中国在人工智能领域的发展。提案中详细阐述了OpenAI对中国AI技术崛起的担忧，并提出了一系列建议和措施，以确保其在全球AI生态中的竞争优势。这一举动引发了广泛的讨论，涉及到国际科技竞争和政策制定的复杂性。,Other,OpenAI,https://mp.weixin.qq.com/s/OqfOzFfWVCO24P0RjEOsWQ
新智元,2025-03-14 10:18:32,Anthropic CEO：全体失业好过50%失业！AI将接管所有代码，但可以一键「躺平」,Anthropic CEO Dario Amodei Discusses AI's Impact on Employment and Code Generation,在3月11日的The CEO Speaker series论坛上，Anthropic的CEO Dario Amodei探讨了AI在未来将如何接管代码编写及其对就业市场的影响。他认为，AI可能在一年内编写几乎所有代码，并可能随机取代50%的工作岗位。他提出了一个让AI有选择退出不适任务的「躺平」按钮的概念，引发了对AI拟人化的讨论。Amodei强调，尽管AI的进步令人兴奋，但也需重新思考人类的价值和角色。,AGI,Other,https://mp.weixin.qq.com/s/0X-ye2QgCmRzBpHSn0piyA
